name,team_id
Germany,
,
Brazil,
,
France,
,
Argentina,
,
Spain,
,
Belgium,
,
Italy,
,
England,
,
Colombia,
,
Portugal,
,
Russia,
,
Chile,
,
Holland,
,
Uruguay,
,
Croatia,
,
Switzerland,
,
USA,
,
Mexico,
,
Poland,
,
Sweden,
,
Algeria,
,
Bosnia-Herzegovina,
,
Japan,
,
Serbia,
,
Ukraine,
,
Ecuador,
,
Austria,
,
Czech Republic,
,
Denmark,
,
Ghana,
,
Greece,
,
Ivory Coast,
,
Nigeria,
,
Turkey,
,
Wales,
,
Australia,
,
Cameroon,
,
Costa Rica,
,
Iceland,
,
Montenegro,
,
Morocco,
,
Republic of Ireland,
,
Romania,
,
South Korea,
,
Bulgaria,
,
Hungary,
,
Iran,
,
Norway,
,
Paraguay,
,
Senegal,
,
Slovakia,
,
Slovenia,
,
Finland,
,
Northern Ireland,
,
Qatar,
,
Scotland,
,
Germany,Brazil,France,Argentina,Spain,Belgium,Italy,England,Colombia,Portugal,Russia,Chile,Holland,Uruguay,Croatia,Switzerland,USA,Mexico,Poland,Sweden,Algeria,Bosnia-Herzegovina,Japan,Serbia,Ukraine,Ecuador,Austria,Czech Republic,Denmark,Ghana,Greece,Ivory Coast,Nigeria,Turkey,Wales,Australia,Cameroon,Costa Rica,Iceland,Montenegro,Morocco,Republic of Ireland,Romania,South Korea,Bulgaria,Hungary,Iran,Norway,Paraguay,Senegal,Slovakia,Slovenia,Finland,Northern Ireland,Qatar,Scotland
5/1,7/1,7/1,9/1,9/1,14/1,14/1,20/1,25/1,25/1,25/1,33/1,33/1,33/1,40/1,66/1,66/1,80/1,80/1,80/1,100/1,100/1,100/1,100/1,100/1,125/1,150/1,150/1,150/1,150/1,150/1,150/1,150/1,150/1,150/1,250/1,250/1,250/1,250/1,250/1,250/1,250/1,250/1,250/1,500/1,500/1,500/1,500/1,500/1,500/1,500/1,500/1,750/1,750/1,1000/1,1000/1
Germany,Brazil,France,Argentina,Spain,Belgium,Italy,England,Colombia,Portugal,Russia,Chile,Holland,Uruguay,Croatia,Switzerland,USA,Mexico,Poland,Sweden,Algeria,Bosnia-Herzegovina,Japan,Serbia,Ukraine,Ecuador,Austria,Czech Republic,Denmark,Ghana,Greece,Ivory Coast,Nigeria,Turkey,Wales,Australia,Cameroon,Costa Rica,Iceland,Montenegro,Morocco,Republic of Ireland,Romania,South Korea,Bulgaria,Hungary,Iran,Norway,Paraguay,Senegal,Slovakia,Slovenia,Finland,Northern Ireland,Qatar,Scotland
"[{'site': 'Site1', 'propability': '5/1'}]","[{'site': 'Site1', 'propability': '7/1'}]","[{'site': 'Site1', 'propability': '7/1'}]","[{'site': 'Site1', 'propability': '9/1'}]","[{'site': 'Site1', 'propability': '9/1'}]","[{'site': 'Site1', 'propability': '14/1'}]","[{'site': 'Site1', 'propability': '14/1'}]","[{'site': 'Site1', 'propability': '20/1'}]","[{'site': 'Site1', 'propability': '25/1'}]","[{'site': 'Site1', 'propability': '25/1'}]","[{'site': 'Site1', 'propability': '25/1'}]","[{'site': 'Site1', 'propability': '33/1'}]","[{'site': 'Site1', 'propability': '33/1'}]","[{'site': 'Site1', 'propability': '33/1'}]","[{'site': 'Site1', 'propability': '40/1'}]","[{'site': 'Site1', 'propability': '66/1'}]","[{'site': 'Site1', 'propability': '66/1'}]","[{'site': 'Site1', 'propability': '80/1'}]","[{'site': 'Site1', 'propability': '80/1'}]","[{'site': 'Site1', 'propability': '80/1'}]","[{'site': 'Site1', 'propability': '100/1'}]","[{'site': 'Site1', 'propability': '100/1'}]","[{'site': 'Site1', 'propability': '100/1'}]","[{'site': 'Site1', 'propability': '100/1'}]","[{'site': 'Site1', 'propability': '100/1'}]","[{'site': 'Site1', 'propability': '125/1'}]","[{'site': 'Site1', 'propability': '150/1'}]","[{'site': 'Site1', 'propability': '150/1'}]","[{'site': 'Site1', 'propability': '150/1'}]","[{'site': 'Site1', 'propability': '150/1'}]","[{'site': 'Site1', 'propability': '150/1'}]","[{'site': 'Site1', 'propability': '150/1'}]","[{'site': 'Site1', 'propability': '150/1'}]","[{'site': 'Site1', 'propability': '150/1'}]","[{'site': 'Site1', 'propability': '150/1'}]","[{'site': 'Site1', 'propability': '250/1'}]","[{'site': 'Site1', 'propability': '250/1'}]","[{'site': 'Site1', 'propability': '250/1'}]","[{'site': 'Site1', 'propability': '250/1'}]","[{'site': 'Site1', 'propability': '250/1'}]","[{'site': 'Site1', 'propability': '250/1'}]","[{'site': 'Site1', 'propability': '250/1'}]","[{'site': 'Site1', 'propability': '250/1'}]","[{'site': 'Site1', 'propability': '250/1'}]","[{'site': 'Site1', 'propability': '500/1'}]","[{'site': 'Site1', 'propability': '500/1'}]","[{'site': 'Site1', 'propability': '500/1'}]","[{'site': 'Site1', 'propability': '500/1'}]","[{'site': 'Site1', 'propability': '500/1'}]","[{'site': 'Site1', 'propability': '500/1'}]","[{'site': 'Site1', 'propability': '500/1'}]","[{'site': 'Site1', 'propability': '500/1'}]","[{'site': 'Site1', 'propability': '750/1'}]","[{'site': 'Site1', 'propability': '750/1'}]","[{'site': 'Site1', 'propability': '1000/1'}]","[{'site': 'Site1', 'propability': '1000/1'}]"
Germany,Brazil,France,Argentina,Spain,Belgium,Italy,England,Colombia,Portugal,Russia,Chile,Holland,Uruguay,Croatia,Switzerland,USA,Mexico,Poland,Sweden,Algeria,Bosnia-Herzegovina,Japan,Serbia,Ukraine,Ecuador,Austria,Czech Republic,Denmark,Ghana,Greece,Ivory Coast,Nigeria,Turkey,Wales,Australia,Cameroon,Costa Rica,Iceland,Montenegro,Morocco,Republic of Ireland,Romania,South Korea,Bulgaria,Hungary,Iran,Norway,Paraguay,Senegal,Slovakia,Slovenia,Finland,Northern Ireland,Qatar,Scotland
"[{'site': 'WilliamHill', 'propability': '5/1'}]","[{'site': 'WilliamHill', 'propability': '7/1'}]","[{'site': 'WilliamHill', 'propability': '7/1'}]","[{'site': 'WilliamHill', 'propability': '9/1'}]","[{'site': 'WilliamHill', 'propability': '9/1'}]","[{'site': 'WilliamHill', 'propability': '14/1'}]","[{'site': 'WilliamHill', 'propability': '14/1'}]","[{'site': 'WilliamHill', 'propability': '20/1'}]","[{'site': 'WilliamHill', 'propability': '25/1'}]","[{'site': 'WilliamHill', 'propability': '25/1'}]","[{'site': 'WilliamHill', 'propability': '25/1'}]","[{'site': 'WilliamHill', 'propability': '33/1'}]","[{'site': 'WilliamHill', 'propability': '33/1'}]","[{'site': 'WilliamHill', 'propability': '33/1'}]","[{'site': 'WilliamHill', 'propability': '40/1'}]","[{'site': 'WilliamHill', 'propability': '66/1'}]","[{'site': 'WilliamHill', 'propability': '66/1'}]","[{'site': 'WilliamHill', 'propability': '80/1'}]","[{'site': 'WilliamHill', 'propability': '80/1'}]","[{'site': 'WilliamHill', 'propability': '80/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '125/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '750/1'}]","[{'site': 'WilliamHill', 'propability': '750/1'}]","[{'site': 'WilliamHill', 'propability': '1000/1'}]","[{'site': 'WilliamHill', 'propability': '1000/1'}]"
Germany,Brazil,France,Argentina,Spain,Belgium,Italy,England,Colombia,Portugal,Russia,Chile,Holland,Uruguay,Croatia,Switzerland,USA,Mexico,Poland,Sweden,Algeria,Bosnia-Herzegovina,Japan,Serbia,Ukraine,Ecuador,Austria,Czech Republic,Denmark,Ghana,Greece,Ivory Coast,Nigeria,Turkey,Wales,Australia,Cameroon,Costa Rica,Iceland,Montenegro,Morocco,Republic of Ireland,Romania,South Korea,Bulgaria,Hungary,Iran,Norway,Paraguay,Senegal,Slovakia,Slovenia,Finland,Northern Ireland,Qatar,Scotland
"[{'site': 'WilliamHill', 'propability': '5/1'}]","[{'site': 'WilliamHill', 'propability': '7/1'}]","[{'site': 'WilliamHill', 'propability': '7/1'}]","[{'site': 'WilliamHill', 'propability': '9/1'}]","[{'site': 'WilliamHill', 'propability': '9/1'}]","[{'site': 'WilliamHill', 'propability': '14/1'}]","[{'site': 'WilliamHill', 'propability': '14/1'}]","[{'site': 'WilliamHill', 'propability': '20/1'}]","[{'site': 'WilliamHill', 'propability': '25/1'}]","[{'site': 'WilliamHill', 'propability': '25/1'}]","[{'site': 'WilliamHill', 'propability': '25/1'}]","[{'site': 'WilliamHill', 'propability': '33/1'}]","[{'site': 'WilliamHill', 'propability': '33/1'}]","[{'site': 'WilliamHill', 'propability': '33/1'}]","[{'site': 'WilliamHill', 'propability': '40/1'}]","[{'site': 'WilliamHill', 'propability': '66/1'}]","[{'site': 'WilliamHill', 'propability': '66/1'}]","[{'site': 'WilliamHill', 'propability': '80/1'}]","[{'site': 'WilliamHill', 'propability': '80/1'}]","[{'site': 'WilliamHill', 'propability': '80/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '125/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '750/1'}]","[{'site': 'WilliamHill', 'propability': '750/1'}]","[{'site': 'WilliamHill', 'propability': '1000/1'}]","[{'site': 'WilliamHill', 'propability': '1000/1'}]"
Germany,Brazil,France,Argentina,Spain,Belgium,Italy,England,Colombia,Portugal,Russia,Chile,Holland,Uruguay,Croatia,Switzerland,USA,Mexico,Poland,Sweden,Algeria,Bosnia-Herzegovina,Japan,Serbia,Ukraine,Ecuador,Austria,Czech Republic,Denmark,Ghana,Greece,Ivory Coast,Nigeria,Turkey,Wales,Australia,Cameroon,Costa Rica,Iceland,Montenegro,Morocco,Republic of Ireland,Romania,South Korea,Bulgaria,Hungary,Iran,Norway,Paraguay,Senegal,Slovakia,Slovenia,Finland,Northern Ireland,Qatar,Scotland
"[{'site': 'WilliamHill', 'propability': '5/1'}]","[{'site': 'WilliamHill', 'propability': '7/1'}]","[{'site': 'WilliamHill', 'propability': '7/1'}]","[{'site': 'WilliamHill', 'propability': '9/1'}]","[{'site': 'WilliamHill', 'propability': '9/1'}]","[{'site': 'WilliamHill', 'propability': '14/1'}]","[{'site': 'WilliamHill', 'propability': '14/1'}]","[{'site': 'WilliamHill', 'propability': '20/1'}]","[{'site': 'WilliamHill', 'propability': '25/1'}]","[{'site': 'WilliamHill', 'propability': '25/1'}]","[{'site': 'WilliamHill', 'propability': '25/1'}]","[{'site': 'WilliamHill', 'propability': '33/1'}]","[{'site': 'WilliamHill', 'propability': '33/1'}]","[{'site': 'WilliamHill', 'propability': '33/1'}]","[{'site': 'WilliamHill', 'propability': '40/1'}]","[{'site': 'WilliamHill', 'propability': '66/1'}]","[{'site': 'WilliamHill', 'propability': '66/1'}]","[{'site': 'WilliamHill', 'propability': '80/1'}]","[{'site': 'WilliamHill', 'propability': '80/1'}]","[{'site': 'WilliamHill', 'propability': '80/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '100/1'}]","[{'site': 'WilliamHill', 'propability': '125/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '150/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '250/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '500/1'}]","[{'site': 'WilliamHill', 'propability': '750/1'}]","[{'site': 'WilliamHill', 'propability': '750/1'}]","[{'site': 'WilliamHill', 'propability': '1000/1'}]","[{'site': 'WilliamHill', 'propability': '1000/1'}]"
Germany,Brazil,France,Argentina,Spain,Belgium,Italy,England,Colombia,Portugal,Russia,Chile,Holland,Uruguay,Croatia,Switzerland,USA,Mexico,Poland,Sweden,Algeria,Bosnia-Herzegovina,Japan,Serbia,Ukraine,Ecuador,Austria,Czech Republic,Denmark,Ghana,Greece,Ivory Coast,Nigeria,Turkey,Wales,Australia,Cameroon,Costa Rica,Iceland,Montenegro,Morocco,Republic of Ireland,Romania,South Korea,Bulgaria,Hungary,Iran,Norway,Paraguay,Senegal,Slovakia,Slovenia,Finland,Northern Ireland,Qatar,Scotland
